Name,Capacity,Location,Surface,Team,Opened,Distance to center field,Type,Roof type
Angel Stadium,45517,Anaheim|California,Grass,Los Angeles Angels,1966,396 feet,Modern,Open
Busch Stadium,45494,St. Louis|Missouri,Grass,St. Louis Cardinals,2006,400 feet,Retro-classic,Open
Chase Field,48686,Phoenix|Arizona,Artificial turf,Arizona Diamondbacks,1998,407 feet,Retro-modern,Retractable
Citi Field,41922,Queens|New York,Grass,New York Mets,2009,408 feet,Retro-classic,Open
Citizens Bank Park,42792,Philadelphia|Pennsylvania,Grass,Philadelphia Phillies,2004,401 feet,Retro-classic,Open
Comerica Park,41083,Detroit|Michigan,Grass,Detroit Tigers,2000,420 feet,Retro-classic,Open
Coors Field,50445,Denver|Colorado,Grass,Colorado Rockies,1995,415 feet,Retro-classic,Open
Dodger Stadium,56000,Los Angeles|California,Grass,Los Angeles Dodgers,1962,395 feet,Modern,Open
Fenway Park,37755,Boston|Massachusetts,Grass,Boston Red Sox,1912,390 feet,Jewel box,Open
Globe Life Field,40300,Arlington|Texas,Artificial turf,Texas Rangers,2020,407 feet,Retro-modern,Retractable
Great American Ball Park,42319,Cincinnati|Ohio,Grass,Cincinnati Reds,2003,404 feet,Retro-modern,Open
Guaranteed Rate Field,40615,Chicago|Illinois,Grass,Chicago White Sox,1991,400 feet,ModernRetro-classic,Open
Kauffman Stadium,37903,Kansas City|Missouri,Grass,Kansas City Royals,1973,410 feet,Modern,Open
Marlins Park,36742,Miami|Florida,Artificial turf,Miami Marlins,2012,407 feet,Contemporary,Retractable
Miller Park,41900,Milwaukee|Wisconsin,Grass,Milwaukee Brewers,2001,400 feet,Retro-modern,Retractable
Minute Maid Park,41168,Houston|Texas,Grass,Houston Astros,2000,409 feet,Retro-modern,Retractable
Nationals Park,41339,Washington|D.C.,Grass,Washington Nationals,2008,402 feet,Retro-modern,Open
Oakland Coliseum,46847,Oakland|California,Grass,Oakland Athletics,1966,400 feet,Multipurpose,Open
Oracle Park,41915,San Francisco|California,Grass,San Francisco Giants,2000,399 feet,Retro-classic,Open
Oriole Park at Camden Yards,45971,Baltimore|Maryland,Grass,Baltimore Orioles,1992,410 feet,Retro-classic,Open
Petco Park,40209,San Diego|California,Grass,San Diego Padres,2004,396 feet,Retro-modern,Open
PNC Park,38747,Pittsburgh|Pennsylvania,Grass,Pittsburgh Pirates,2001,399 feet,Retro-classic,Open
Progressive Field,35000,Cleveland|Ohio,Grass,Cleveland Indians,1994,410 feet,Retro-modern,Open
Rogers Centre,49282,Toronto|Ontario,Artificial turf,Toronto Blue Jays,1989,400 feet,Multipurpose,Retractable
T-Mobile Park,47929,Seattle|Washington,Grass,Seattle Mariners,1999,401 feet,Retro-modern,Retractable
Target Field,38544,Minneapolis|Minnesota,Grass,Minnesota Twins,2010,404 feet,Retro-modern,Open
Tropicana Field,25000,St. Petersburg|Florida,Artificial turf,Tampa Bay Rays,1990,404 feet,Indoor,Fixed
Truist Park,41084,Cumberland|Georgia,Grass,Atlanta Braves,2017,400 feet,Retro-modern,Open
Wrigley Field,41649,Chicago|Illinois,Grass,Chicago Cubs,1914,400 feet,Jewel box,Open
Yankee Stadium,47309,Bronx|New York,Grass,New York Yankees,2009,408 feet,Retro-classic,Open
